nilai,kelengkapan,kesesuaian,target
52,1,0,revisi
68,0,0,revisi
55,1,1,revisi
63,0,0,revisi
70,1,0,revisi
60,0,0,revisi
65,0,0,revisi
50,1,0,revisi
42,0,1,revisi
67,0,0,revisi
58,0,1,revisi
62,1,0,revisi
85,1,1,selesai
88,1,1,selesai
95,1,1,selesai
81,1,1,selesai
90,0,1,selesai
82,1,1,selesai
96,1,1,selesai
87,0,1,selesai
91,1,1,selesai
84,1,0,selesai
93,1,1,selesai
80,1,1,selesai
83,1,1,selesai
94,1,1,selesai
97,1,1,selesai
98,1,1,selesai
99,1,1,selesai
100,1,0,selesai
50,0,1,revisi
71,0,0,revisi
75,1,1,revisi
78,1,1,revisi
72,0,1,revisi
80,0,0,revisi
74,0,1,revisi
62,0,1,selesai
67,1,1,selesai
63,0,1,selesai
60,1,0,selesai
69,1,1,selesai
65,1,1,selesai
70,1,0,selesai
68,1,1,selesai
